ccode,ccname,idacr,leader,year,entry,exit,exitcode,regime.spell,v2x_libdem, v2x_libdem_codehigh ,DEMDUR,DEXDUR,AUTODUR,AUTOGROUP,TENURE,SignPTA,NegPTA,DICT,poleff,opposition,eiec,reelection,allhouse
339,Albania,ALB,Berisha,2006,0,1,0,democracy, 0.45 ,,21,2,0,0,2,1,0,0,2,0,7,,0
339,Albania,ALB,Berisha,2007,0,1,0,democracy, 0.46 ,,22,3,0,0,3,0,0,0,1,0,7,,0
339,Albania,ALB,Berisha,2008,0,1,0,democracy, 0.47 ,,23,4,0,0,4,0,0,0,1,0,7,,0
339,Albania,ALB,Berisha,2009,0,1,0,democracy, 0.48 ,,24,5,0,0,5,1,1,0,1,0,7,1,0
339,Albania,ALB,Berisha,2010,0,1,0,democracy, 0.48 ,,25,6,0,0,6,0,0,0,1,0,7,,0
339,Albania,ALB,Berisha,2011,0,1,0,democracy, 0.48 ,,26,7,0,0,7,0,0,0,1,0,7,,0
339,Albania,ALB,Berisha,2012,0,1,0,democracy, 0.48 ,,27,8,0,0,8,0,0,0,1,0,7,,0
339,Albania,ALB,Berisha,2013,0,1,0,democracy, 0.45 ,,28,9,0,0,9,0,0,0,1,0,7,,0
339,Albania,ALB,Rama,2013,0,-888,-888,democracy, 0.47 ,,29,1,0,0,1,0,0,0,1,0,7,,0
339,Albania,ALB,Rama,2014,0,-888,-888,democracy, 0.46 ,,30,2,0,0,2,0,0,0,0,0,7,,0
339,Albania,ALB,Rama,2015,0,-888,-888,democracy,,,31,3,0,0,3,0,0,0,0,0,7,,0
615,Algeria,ALG,Zeroual,1995,0,1,0,no authority,,,0,0,0,0,2,0,0,2,2,0,2,,1
615,Algeria,ALG,Zeroual,1996,0,1,0,no authority,,,0,0,0,0,3,0,1,2,2,0,7,,1
615,Algeria,ALG,Zeroual,1997,0,1,0,no authority,,,0,0,0,0,4,0,0,2,2,0,7,,1
615,Algeria,ALG,Zeroual,1998,0,1,0,no authority,,,0,0,0,0,5,0,0,2,2,0,7,,1
615,Algeria,ALG,Zeroual,1999,0,1,0,no authority,,,0,0,0,0,6,0,0,2,2,0,7,,1
615,Algeria,ALG,Bouteflika,1999,0,-888,0,no authority,,,0,0,0,0,1,0,0,2,2,1,7,,1
615,Algeria,ALG,Bouteflika,2000,0,-888,0,no authority,,,0,0,0,0,2,0,0,2,2,1,7,,1
615,Algeria,ALG,Bouteflika,2001,0,-888,0,no authority,,,0,0,0,0,3,0,0,2,2,1,7,,1
615,Algeria,ALG,Bouteflika,2002,0,-888,0,dictatorship,,,0,0,1,1,4,1,0,1,2,1,7,,1
615,Algeria,ALG,Bouteflika,2003,0,-888,0,dictatorship,,,0,0,2,2,5,0,0,1,2,0,7,,1
615,Algeria,ALG,Bouteflika,2004,0,-888,0,dictatorship,,,0,0,3,3,6,0,0,1,2,0,7,,1
615,Algeria,ALG,Bouteflika,2005,0,-888,0,dictatorship,,,0,0,4,4,7,0,0,1,2,0,7,,1
615,Algeria,ALG,Bouteflika,2006,0,-888,0,dictatorship,,,0,0,5,5,8,0,0,1,2,0,7,,1
615,Algeria,ALG,Bouteflika,2007,0,-888,0,dictatorship,,,0,0,6,6,9,0,1,1,1,0,7,,1
615,Algeria,ALG,Bouteflika,2008,0,-888,0,dictatorship,,,0,0,7,7,10,0,0,1,1,0,7,,1
615,Algeria,ALG,Bouteflika,2009,0,-888,0,dictatorship,,,0,0,8,8,11,0,0,1,1,0,7,,1
615,Algeria,ALG,Bouteflika,2010,0,-888,0,dictatorship,,,0,0,9,9,12,0,0,1,1,0,7,,1
615,Algeria,ALG,Bouteflika,2011,0,-888,0,dictatorship,,,0,0,10,10,13,0,0,1,1,0,7,,1
615,Algeria,ALG,Bouteflika,2012,0,-888,0,dictatorship,,,0,0,11,11,14,0,0,1,2,0,7,,1
615,Algeria,ALG,Bouteflika,2013,0,-888,0,dictatorship,,,0,0,12,12,15,0,0,1,2,0,7,,1
615,Algeria,ALG,Bouteflika,2014,0,-888,0,dictatorship,,,0,0,13,13,16,0,0,1,1,0,7,,1
615,Algeria,ALG,Bouteflika,2015,0,-888,0,dictatorship,,,0,0,14,14,17,0,0,1,1,0,7,,1
160,Argentina,ARG,Menem,1995,0,1,0,democracy,,,13,8,0,0,8,0,0,0,1,0,7,1,1
160,Argentina,ARG,Menem,1996,0,1,0,democracy,,,14,9,0,0,9,0,0,0,1,0,7,,1
160,Argentina,ARG,Menem,1997,0,1,0,democracy,,,15,10,0,0,10,0,0,0,1,0,7,,1
160,Argentina,ARG,Menem,1998,0,1,0,democracy,,,16,11,0,0,11,0,0,0,1,0,7,,1
160,Argentina,ARG,Menem,1999,0,1,0,democracy,,,17,12,0,0,12,0,0,0,1,0,7,,1
160,Argentina,ARG,de la Rua,1999,0,1,0,democracy,,,18,1,0,0,1,0,0,0,1,0,7,,1
160,Argentina,ARG,de la Rua,2000,0,1,0,democracy,,,19,2,0,0,2,0,0,0,1,1,7,,0
160,Argentina,ARG,de la Rua,2001,0,1,0,democracy,,,20,3,0,0,3,0,0,0,1,1,7,,0
160,Argentina,ARG,Ramon Puerta,2001,0,1,0,democracy,,,21,1,0,0,1,0,0,0,1,1,7,,0
160,Argentina,ARG,Adolfo Rodriguez Saa,2001,0,1,0,democracy,,,22,1,0,0,1,0,0,0,1,1,7,,0
160,Argentina,ARG,Adolfo Rodriguez Saa,2002,0,1,0,democracy,,,23,2,0,0,2,0,0,0,1,0,7,,0
160,Argentina,ARG,Eduardo Duhalde,2002,0,1,0,democracy,,,24,1,0,0,1,0,0,0,1,0,7,,0
160,Argentina,ARG,Eduardo Duhalde,2003,0,1,0,democracy,,,25,2,0,0,2,0,0,0,1,0,7,,0
160,Argentina,ARG,Nestor Kirchner,2003,0,1,0,democracy,,,26,1,0,0,1,0,0,0,1,0,7,,0
160,Argentina,ARG,Nestor Kirchner,2004,0,1,0,democracy,,,27,2,0,0,2,0,1,0,1,0,7,,0
160,Argentina,ARG,Nestor Kirchner,2005,0,1,0,democracy,,,28,3,0,0,3,0,0,0,0,0,7,,0
160,Argentina,ARG,Nestor Kirchner,2006,0,1,0,democracy,,,29,4,0,0,4,0,1,0,0,0,7,,1
160,Argentina,ARG,Nestor Kirchner,2007,0,1,0,democracy,,,30,5,0,0,5,1,0,0,0,0,7,,1
160,Argentina,ARG,Fernandez de Kirchner,2007,0,1,0,democracy,,,31,1,0,0,1,0,0,0,0,0,7,,1
160,Argentina,ARG,Fernandez de Kirchner,2008,0,1,0,democracy,,,32,2,0,0,2,0,0,0,0,0,7,,1
160,Argentina,ARG,Fernandez de Kirchner,2009,0,1,0,democracy,,,33,3,0,0,3,0,0,0,0,0,7,,0
160,Argentina,ARG,Fernandez de Kirchner,2010,0,1,0,democracy,,,34,4,0,0,4,0,0,0,0,0,7,,0
160,Argentina,ARG,Fernandez de Kirchner,2011,0,1,0,democracy,,,35,5,0,0,5,0,0,0,0,0,7,1,0
160,Argentina,ARG,Fernandez de Kirchner,2012,0,1,0,democracy,,,36,6,0,0,6,0,0,0,0,0,7,,0
160,Argentina,ARG,Fernandez de Kirchner,2013,0,1,0,democracy,,,37,7,0,0,7,0,0,0,0,0,7,,0
160,Argentina,ARG,Fernandez de Kirchner,2014,0,1,0,democracy,,,38,8,0,0,8,0,0,0,0,0,7,,0
160,Argentina,ARG,Fernandez de Kirchner,2015,0,1,0,democracy,,,39,9,0,0,9,0,0,0,0,0,7,,0
160,Argentina,ARG,Mauricio Macri,2015,0,-888,-888,democracy,,,40,1,0,0,1,0,0,0,0,0,7,,0
692,Bahrain,BAH,Isa Ibn Al-Khalifah,1995,0,2,0,dictatorship,,,0,0,25,25,25,0,0,1,2,NA,2,,
692,Bahrain,BAH,Isa Ibn Al-Khalifah,1996,0,2,0,dictatorship,,,0,0,26,26,26,0,0,1,1,NA,2,,
692,Bahrain,BAH,Isa Ibn Al-Khalifah,1997,0,2,0,dictatorship,,,0,0,27,27,27,0,0,1,1,NA,2,,
692,Bahrain,BAH,Isa Ibn Al-Khalifah,1998,0,2,0,dictatorship,,,0,0,28,28,28,0,0,1,1,NA,2,,
692,Bahrain,BAH,Isa Ibn Al-Khalifah,1999,0,2,0,dictatorship,,,0,0,29,29,29,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,1999,0,-888,-888,dictatorship,,,0,0,30,30,1,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2000,0,-888,-888,dictatorship,,,0,0,31,31,2,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2001,0,-888,-888,dictatorship,,,0,0,32,32,3,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2002,0,-888,-888,dictatorship,,,0,0,33,33,4,0,1,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2003,0,-888,-888,dictatorship,,,0,0,34,34,5,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2004,0,-888,-888,dictatorship,,,0,0,35,35,6,1,1,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2005,0,-888,-888,dictatorship,,,0,0,36,36,7,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2006,0,-888,-888,dictatorship,,,0,0,37,37,8,0,1,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2007,0,-888,-888,dictatorship,,,0,0,38,38,9,0,1,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2008,0,-888,-888,dictatorship,,,0,0,39,39,10,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2009,0,-888,-888,dictatorship,,,0,0,40,40,11,0,0,1,0,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2010,0,-888,-888,dictatorship,,,0,0,41,41,12,0,0,1,1,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2011,0,-888,-888,dictatorship,,,0,0,42,42,13,0,0,1,2,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2012,0,-888,-888,dictatorship,,,0,0,43,43,14,0,0,1,3,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2013,0,-888,-888,dictatorship,,,0,0,44,44,15,0,0,1,3,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2014,0,-888,-888,dictatorship,,,0,0,45,45,16,0,0,1,3,NA,2,,
692,Bahrain,BAH,Hamad Isa Ibn Al-Khalifah,2015,0,-888,-888,dictatorship,,,0,0,46,46,17,0,0,1,3,NA,2,,
370,Belarus,BLR,Lukashenko,1995,0,-888,0,dictatorship,,,8,2,0,0,2,0,0,0,1,0,6,,0
370,Belarus,BLR,Lukashenko,1996,0,-888,0,dictatorship,,,0,0,1,1,3,0,0,0,1,0,6,,0
370,Belarus,BLR,Lukashenko,1997,0,-888,0,dictatorship,,,0,0,2,2,4,0,0,1,1,0,6,,
370,Belarus,BLR,Lukashenko,1998,0,-888,0,dictatorship,,,0,0,3,3,5,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,1999,0,-888,0,dictatorship,,,0,0,4,4,6,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2000,0,-888,0,dictatorship,,,0,0,5,5,7,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2001,0,-888,0,dictatorship,,,0,0,6,6,8,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2002,0,-888,0,dictatorship,,,0,0,7,7,9,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2003,0,-888,0,dictatorship,,,0,0,8,8,10,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2004,0,-888,0,dictatorship,,,0,0,9,9,11,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2005,0,-888,0,dictatorship,,,0,0,10,10,12,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2006,0,-888,0,dictatorship,,,0,0,11,11,13,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2007,0,-888,0,dictatorship,,,0,0,12,12,14,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2008,0,-888,0,dictatorship,,,0,0,13,13,15,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2009,0,-888,0,dictatorship,,,0,0,14,14,16,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2010,0,-888,0,dictatorship,,,0,0,15,15,17,0,1,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2011,0,-888,0,dictatorship,,,0,0,16,16,18,0,1,1,2,NA,6,,
370,Belarus,BLR,Lukashenko,2012,0,-888,0,dictatorship,,,0,0,17,17,19,0,0,1,2,NA,6,,
370,Belarus,BLR,Lukashenko,2013,0,-888,0,dictatorship,,,0,0,18,18,20,0,0,1,2,0,6,,
370,Belarus,BLR,Lukashenko,2014,0,-888,0,dictatorship,,,0,0,19,19,21,0,0,1,1,0,6,,
370,Belarus,BLR,Lukashenko,2015,0,-888,0,dictatorship,,,0,0,20,20,22,0,0,1,1,0,6,,
145,Bolivia,BOL,Gonzalo Sanchez de Lozada,1995,0,1,0,democracy,,,16,3,0,0,3,0,0,0,2,0,7,,0
145,Bolivia,BOL,Gonzalo Sanchez de Lozada,1996,0,1,0,democracy,,,17,4,0,0,4,1,1,0,2,0,7,,0
145,Bolivia,BOL,Gonzalo Sanchez de Lozada,1997,0,1,0,democracy,,,18,5,0,0,5,0,0,0,2,0,7,,0
145,Bolivia,BOL,Banzer Suarez,1997,0,2.1,0,democracy,,,19,1,0,0,1,0,0,0,2,0,7,,0
145,Bolivia,BOL,Banzer Suarez,1998,0,2.1,0,democracy,,,20,2,0,0,2,0,0,0,2,0,7,,0
145,Bolivia,BOL,Banzer Suarez,1999,0,2.1,0,democracy,,,21,3,0,0,3,0,0,0,1,0,7,,0
145,Bolivia,BOL,Banzer Suarez,2000,0,2.1,0,democracy,,,22,4,0,0,4,0,0,0,0,0,7,,0
145,Bolivia,BOL,Banzer Suarez,2001,0,2.1,0,democracy,,,23,5,0,0,5,0,0,0,0,0,7,,0
145,Bolivia,BOL,Jorge Quiroga Ramirez,2001,0,1,0,democracy,,,24,1,0,0,1,0,0,0,0,0,7,,0
145,Bolivia,BOL,Jorge Quiroga Ramirez,2002,0,1,0,democracy,,,25,2,0,0,2,0,0,0,0,0,7,,0
145,Bolivia,BOL,Gonzalo Sanchez de Lozada,2002,0,1,0,democracy,,,26,1,0,0,1,0,0,0,0,0,7,,0
145,Bolivia,BOL,Gonzalo Sanchez de Lozada,2003,0,1,0,democracy,,,27,2,0,0,2,0,1,0,0,0,7,,0
145,Bolivia,BOL,Carlos Mesa,2003,0,1,0,democracy,,,28,1,0,0,1,0,0,0,0,0,7,,0
145,Bolivia,BOL,Carlos Mesa,2004,0,1,0,democracy,,,29,2,0,0,2,1,1,0,0,0,7,,0
145,Bolivia,BOL,Carlos Mesa,2005,0,1,0,democracy,,,30,3,0,0,3,0,0,0,1,0,7,,0
145,Bolivia,BOL,Enrique Rodriguez,2005,0,1,0,democracy,,,31,1,0,0,1,0,0,0,1,0,7,,0
145,Bolivia,BOL,Enrique Rodriguez,2006,0,1,0,democracy,,,32,2,0,0,2,0,0,0,1,0,7,,0
145,Bolivia,BOL,Juan Morales,2006,0,-888,-888,democracy,,,33,1,0,0,1,0,0,0,1,0,7,,0
145,Bolivia,BOL,Juan Morales,2007,0,-888,-888,democracy,,,34,2,0,0,2,0,0,0,1,0,7,,0
145,Bolivia,BOL,Juan Morales,2008,0,-888,-888,democracy,,,35,3,0,0,3,0,0,0,1,0,7,,0
145,Bolivia,BOL,Juan Morales,2009,0,-888,-888,democracy,,,36,4,0,0,4,0,0,0,1,0,7,,0
145,Bolivia,BOL,Juan Morales,2010,0,-888,-888,democracy,,,37,5,0,0,5,0,0,0,1,0,7,1,1
145,Bolivia,BOL,Juan Morales,2011,0,-888,-888,democracy,,,38,6,0,0,6,0,0,0,1,NA,7,,1
145,Bolivia,BOL,Juan Morales,2012,0,-888,-888,democracy,,,39,7,0,0,7,0,0,0,1,NA,7,,1
145,Bolivia,BOL,Juan Morales,2013,0,-888,-888,democracy,,,40,8,0,0,8,0,0,0,1,NA,7,,1
145,Bolivia,BOL,Juan Morales,2014,0,-888,-888,democracy,,,41,9,0,0,9,0,0,0,1,NA,7,,1
145,Bolivia,BOL,Juan Morales,2015,0,-888,-888,democracy,,,42,10,0,0,10,0,0,0,1,NA,7,,1
346,Bosnia and Herzegovina,BOS,Izetbegovic,1995,0,2.1,0,no authority,,,0,0,0,0,6,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Izetbegovic,1996,0,2.1,0,no authority,,,0,0,0,0,7,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Izetbegovic,1997,0,2.1,0,no authority,,,0,0,0,0,8,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Izetbegovic,1998,0,2.1,0,no authority,,,0,0,0,0,9,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Radisic,1998,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Radisic,1999,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Jelavic,1999,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Jelavic,2000,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Izetbegovic,2000,0,2.1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Radisic,2000,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Radisic,2001,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Krizanovic,2001,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Krizanovic,2002,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Belkic,2002,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Sarovic,2002,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
346,Bosnia and Herzegovina,BOS,Sarovic,2003,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Borislav Paravac,2003,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Dragan Covic,2003,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Dragan Covic,2004,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Sulejman Tihic,2004,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Borislav Paravac,2004,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Borislav Paravac,2005,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Miro Jovic,2005,0,1,0,no authority,,,0,0,0,0,1,0,1,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Miro Jovic,2006,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Sulejman Tihic,2006,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Radmanovic,2006,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Radmanovic,2007,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2007,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2008,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Silajdzic,2008,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Radmanovic,2008,0,1,0,no authority,,,0,0,0,0,1,1,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Radmanovic,2009,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2009,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2010,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Silajdzic,2010,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Radmanovic,2010,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,0,7,,
346,Bosnia and Herzegovina,BOS,Radmanovic,2011,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2011,0,1,0,no authority,,,0,0,0,0,1,0,1,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2012,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2013,0,1,0,no authority,,,0,0,0,0,3,0,0,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Zeljko Komsic,2014,0,1,0,no authority,,,0,0,0,0,4,0,0,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Ivanic,2014,0,1,0,no authority,,,0,0,0,0,1,0,0,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Ivanic,2015,0,1,0,no authority,,,0,0,0,0,2,0,0,2,1,NA,7,,
346,Bosnia and Herzegovina,BOS,Dragan Covic,2015,0,-888,-888,no authority,,,0,0,0,0,1,0,0,2,1,NA,NA,,
571,Botswana,BOT,Masire,1995,0,1,0,democracy,,,26,16,0,0,16,0,0,0,1,0,7,,1
571,Botswana,BOT,Masire,1996,0,1,0,democracy,,,27,17,0,0,17,0,0,0,1,0,7,,1
571,Botswana,BOT,Masire,1997,0,1,0,democracy,,,28,18,0,0,18,0,0,0,1,0,7,,1
571,Botswana,BOT,Masire,1998,0,1,0,democracy,,,29,19,0,0,19,0,0,0,1,0,7,,1
571,Botswana,BOT,Mogae,1998,0,1,0,democracy,,,30,1,0,0,1,0,0,0,1,0,7,,1
571,Botswana,BOT,Mogae,1999,0,1,0,democracy,,,31,2,0,0,2,0,0,0,0,0,7,,1
571,Botswana,BOT,Mogae,2000,0,1,0,democracy,,,32,3,0,0,3,0,0,0,0,0,7,,1
571,Botswana,BOT,Mogae,2001,0,1,0,democracy,,,33,4,0,0,4,0,0,0,0,0,7,,1
571,Botswana,BOT,Mogae,2002,0,1,0,democracy,,,34,5,0,0,5,0,0,0,0,0,7,,1
571,Botswana,BOT,Mogae,2003,0,1,0,democracy,,,35,6,0,0,6,0,0,0,0,0,7,,1
571,Botswana,BOT,Mogae,2004,0,1,0,democracy,,,36,7,0,0,7,0,0,0,0,0,7,1,1
571,Botswana,BOT,Mogae,2005,0,1,0,democracy,,,37,8,0,0,8,0,1,0,0,0,7,,1
571,Botswana,BOT,Mogae,2006,0,1,0,democracy,,,38,9,0,0,9,1,0,0,0,0,6,,1
571,Botswana,BOT,Mogae,2007,0,1,0,democracy,,,39,10,0,0,10,0,0,0,0,0,6,,1
571,Botswana,BOT,Mogae,2008,0,1,0,democracy,,,40,11,0,0,11,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2008,0,-888,-888,democracy,,,41,1,0,0,1,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2009,0,-888,-888,democracy,,,42,2,0,0,2,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2010,0,-888,-888,democracy,,,43,3,0,0,3,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2011,0,-888,-888,democracy,,,44,4,0,0,4,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2012,0,-888,-888,democracy,,,45,5,0,0,5,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2013,0,-888,-888,democracy,,,46,6,0,0,6,0,0,0,0,0,6,,1
571,Botswana,BOT,Ian Khama,2014,0,-888,-888,democracy,,,47,7,0,0,7,0,0,0,0,0,6,1,1
571,Botswana,BOT,Ian Khama,2015,0,-888,-888,democracy,,,48,8,0,0,8,0,0,0,0,0,6,,1
140,Brazil,BRA,Cardoso,1995,0,1,0,democracy,,,11,1,0,0,1,0,0,0,0,0,7,,0
140,Brazil,BRA,Cardoso,1996,0,1,0,democracy,,,12,2,0,0,2,0,0,0,0,0,7,,0
